ID_Prueba,Ticker,Fecha,Precio de señal de compra,Valor de RSI (cierre),MACD,Institutional_Index,Accuracy,Precision,Recall,F1-Score,AUC-ROC
7dfeeddb,JNJ,2024-12-20 00:00:00,144.47,33.23403400381159,-3.164968781498004,2,1.0,1.0,1.0,1.0,1.0
d2c32ca8,MSFT,2024-12-20 00:00:00,436.6,42.66245075613661,5.251694691970613,2,1.0,1.0,1.0,1.0,1.0
d2c32ca8,MSFT,2025-01-30 00:00:00,414.99,34.32790886503619,1.2507266685752825,2,1.0,1.0,1.0,1.0,1.0
9de2f711,MS,2024-11-06 00:00:00,131.49,83.95304410255065,3.83812106405712,3,1.0,1.0,1.0,1.0,1.0
9de2f711,MS,2024-12-20 00:00:00,123.44,37.10980266045683,-0.7959174423964015,2,1.0,1.0,1.0,1.0,1.0
9de2f711,MS,2025-01-16 00:00:00,135.81,74.76082854032576,0.6604189396892934,2,1.0,1.0,1.0,1.0,1.0
0524eed0,HIMS,2024-11-05 00:00:00,20.64,48.99165307994447,0.5411121921343671,3,1.0,1.0,1.0,1.0,1.0
0524eed0,HIMS,2024-11-06 00:00:00,23.42,65.34256970949845,0.7112117050886511,3,1.0,1.0,1.0,1.0,1.0
0524eed0,HIMS,2024-11-11 00:00:00,27.88,79.53064657888636,1.34822544001484,3,1.0,1.0,1.0,1.0,1.0
0524eed0,HIMS,2024-11-14 00:00:00,20.85,40.683850847247605,1.396254800668654,4,1.0,1.0,1.0,1.0,1.0
0524eed0,HIMS,2024-11-15 00:00:00,19.32,36.4587247652731,0.9562749624408616,2,1.0,1.0,1.0,1.0,1.0
0524eed0,HIMS,2024-11-25 00:00:00,31.35,72.34606313344867,1.433353704858181,2,1.0,1.0,1.0,1.0,1.0
0524eed0,HIMS,2025-02-13 00:00:00,59.18,91.644370948632,5.6013638030612185,3,1.0,1.0,1.0,1.0,1.0
0524eed0,HIMS,2025-02-14 00:00:00,60.47,92.13585125985402,6.570822507651648,2,1.0,1.0,1.0,1.0,1.0
0524eed0,HIMS,2025-02-19 00:00:00,68.74,89.43432352367489,8.247606545284576,4,1.0,1.0,1.0,1.0,1.0
0524eed0,HIMS,2025-02-20 00:00:00,66.41,81.70524134093203,8.8681720428593,2,1.0,1.0,1.0,1.0,1.0
0524eed0,HIMS,2025-02-21 00:00:00,49.28,47.14353426174051,7.886812566111757,5,1.0,1.0,1.0,1.0,1.0
0524eed0,HIMS,2025-02-24 00:00:00,51.31,50.033613767429216,7.190000297251295,3,1.0,1.0,1.0,1.0,1.0
0524eed0,HIMS,2025-02-25 00:00:00,39.86,36.90198150784085,5.648737120255184,4,1.0,1.0,1.0,1.0,1.0
f8f6841b,AXP,2024-12-20 00:00:00,298.65,50.892061815102345,2.216118895461136,2,1.0,1.0,1.0,1.0,1.0
f8f6841b,AXP,2025-01-24 00:00:00,321.34,68.64818949358767,6.258386932807071,2,1.0,1.0,1.0,1.0,1.0
800c2920,GS,2024-11-06 00:00:00,595.98,84.92731823398142,10.931997194892917,4,1.0,1.0,1.0,1.0,1.0
800c2920,GS,2024-11-07 00:00:00,582.17,74.21389270902408,14.183707031285053,2,1.0,1.0,1.0,1.0,1.0
800c2920,GS,2024-12-20 00:00:00,566.1,38.25517831931696,-1.7981469729696755,2,1.0,1.0,1.0,1.0,1.0
800c2920,GS,2025-01-15 00:00:00,605.92,71.50558730883903,0.4249210148947213,2,1.0,1.0,1.0,1.0,1.0
800c2920,GS,2025-01-21 00:00:00,634.74,81.28666379537492,9.394050023841372,2,1.0,1.0,1.0,1.0,1.0
cf5f9bb1,TMO,2024-11-15 00:00:00,513.08,13.078881786227,-15.65035317626564,2,0.9866666666666668,1.0,0.75,0.8571428571428571,0.9929577464788732
cf5f9bb1,TMO,2024-11-18 00:00:00,501.29,10.41905945528174,-17.940156813945578,2,0.9866666666666668,1.0,0.75,0.8571428571428571,0.9929577464788732
cf5f9bb1,TMO,2024-11-19 00:00:00,509.12,22.49708429397154,-18.90510089686927,2,0.9866666666666668,1.0,0.75,0.8571428571428571,0.9929577464788732
79fd3670,TTWO,2024-11-06 00:00:00,166.62,78.8063583565847,2.9004778292371896,2,1.0,1.0,1.0,1.0,1.0
79fd3670,TTWO,2024-11-07 00:00:00,179.17,91.31320025270789,4.045343102931554,2,1.0,1.0,1.0,1.0,1.0
79fd3670,TTWO,2024-12-20 00:00:00,181.97,36.955047007358,1.7693376223319888,2,1.0,1.0,1.0,1.0,1.0
79fd3670,TTWO,2025-02-07 00:00:00,208.77,79.30119199845288,2.195081794021121,4,1.0,1.0,1.0,1.0,1.0
79fd3670,TTWO,2025-02-10 00:00:00,212.51,81.32619473255308,3.9047576202250127,2,1.0,1.0,1.0,1.0,1.0
